ds,yhat
2013-01-01,15.262463991943203
2013-01-02,15.182310791004785
2013-01-03,15.076715215931111
2013-01-04,15.223912515607998
2013-01-05,15.231107688084233
2013-01-06,11.910768158508104
2013-01-07,15.458029644625965
2013-01-08,15.489089697805197
2013-01-09,15.429314974420798
2013-01-10,15.339467260853308
2013-01-11,15.497633558557007
2013-01-12,15.510971938834452
2013-01-13,12.192002945755313
2013-01-14,15.736011928644263
2013-01-15,15.759436917107356
2013-01-16,15.68796826848961
2013-01-17,15.582765331106504
2013-01-18,15.722375688339598
2013-01-19,15.714468983561355
2013-01-20,12.372115418188846
2013-01-21,15.89117463384655
2013-01-22,15.888669927476656
2013-01-23,15.790874363674297
2013-01-24,15.65951435132875
2013-01-25,15.773676555384789
2013-01-26,15.74153042320266
2013-01-27,12.376596665420315
2013-01-28,15.875127611342457
2013-01-29,15.85447455466252
2013-01-30,15.741168774366056
2013-01-31,15.597121870925182
2013-02-01,15.701531311810832
2013-02-02,15.662603444097982
2013-02-03,12.293824238701646
2013-02-04,15.791343576529693
2013-02-05,15.772348036584743
2013-02-06,15.66314868323951
2013-02-07,15.525389276189047
2013-02-08,15.63796055896728
2013-02-09,15.608732627706988
2013-02-10,12.250835387058546
2013-02-11,15.760052636525293
2013-02-12,15.753204492615607
2013-02-13,15.656244400056051
2013-02-14,15.53047593065972
2013-02-15,15.654474825757546
2013-02-16,15.635828112648884
2013-02-17,12.28742016441342
2013-02-18,15.804831143785291
2013-02-19,15.804722472003109
2013-02-20,15.71293554904977
2013-02-21,15.59070893479194
2013-02-22,15.716599493846848
2013-02-23,15.69821941550219
2013-02-24,12.348519088398714
2013-02-25,15.863181408144552
2013-02-26,15.859002316966835
2013-02-27,15.761983976491257
2013-02-28,15.633545968499526
2013-03-01,15.752440216919648
2013-03-02,15.726481731823243
2013-03-03,12.368825338137809
2013-03-04,15.875354144029115
2013-03-05,15.863054695297295
2013-03-06,15.75810536267625
2013-03-07,15.622083465582392
2013-03-08,15.733876913635756
2013-03-09,15.701412526764292
2013-03-10,12.33793122882551
2013-03-11,15.839375867994931
2013-03-12,15.82276659501455
2013-03-13,15.714290286712922
2013-03-14,15.575509448981853
2013-03-15,15.68527628576648
2013-03-16,15.65146398386251
2013-03-17,12.287245284924635
2013-03-18,15.788483966127552
2013-03-19,15.772114024404395
2013-03-20,15.664232916307066
2013-03-21,15.52631415686752
2013-03-22,15.637124842204326
2013-03-23,15.604460036073082
2013-03-24,12.2414239982124
2013-03-25,15.743823800204028
2013-03-26,15.728550068572778
2013-03-27,15.621671173335208
2013-03-28,15.484646153655016
2013-03-29,15.59624195511416
2013-03-30,15.5642669502549
2013-03-31,12.2018507702714
2013-04-01,15.704836061482856
2013-04-02,15.690156988669466
2013-04-03,15.583930897710308
2013-04-04,15.447668530419
2013-04-05,15.560188473737044
2013-04-06,15.52934792170822
2013-04-07,12.168319883182328
2013-04-08,15.67298254699349
2013-04-09,15.660295715696758
2013-04-10,15.556390796128223
2013-04-11,15.422779802013896
2013-04-12,15.538269094445708
2013-04-13,15.510689965622335
2013-04-14,12.153176206229617
2013-04-15,15.661554356793904
2013-04-16,15.652721524340874
2013-04-17,15.552737205390208
2013-04-18,15.423034507821637
2013-04-19,15.542336421308407
2013-04-20,15.51838915487285
2013-04-21,12.164242586931117
2013-04-22,15.67564342929454
2013-04-23,15.669415885315487
2013-04-24,15.571556144925015
2013-04-25,15.443446015778736
2013-04-26,15.563771255433188
2013-04-27,15.540256549295856
2013-04-28,12.185947120031049
2013-04-29,15.69660252515586
2013-04-30,15.689077395988152
2013-05-01,15.589415451104063
2013-05-02,15.459062096278744
2013-05-03,15.576781183995024
2013-05-04,15.55038795861957
2013-05-05,12.193028195544043
2013-05-06,15.70056918316318
2013-05-07,15.689977382487378
2013-05-08,15.58740919131324
2013-05-09,15.45442022112394
2013-05-10,15.569878780766638
2013-05-11,15.541695657757746
2013-05-12,12.18310034055296
2013-05-13,15.690029403401075
2013-05-14,15.679501973389234
2013-05-15,15.577708775826776
2013-05-16,15.446220220427485
2013-05-17,15.563899260786949
2013-05-18,15.538631138577014
2013-05-19,12.183600158963817
2013-05-20,15.694679203174726
2013-05-21,15.688806865124556
2013-05-22,15.592078658560188
2013-05-23,15.465957692634388
2013-05-24,15.589190470779988
2013-05-25,15.569539836460228
2013-05-26,12.220065115885737
2013-05-27,15.736515063351872
2013-05-28,15.735708393453043
2013-05-29,15.643628245786008
2013-05-30,15.521635883795623
2013-05-31,15.648389194006104
2013-06-01,15.631573808234664
2013-06-02,12.284197445639563
2013-06-03,15.801971804687108
2013-06-04,15.80169797901954
2013-06-05,15.709361112858907
2013-06-06,15.586343720266736
2013-06-07,15.711343251764402
2013-06-08,15.69210588811697
2013-06-09,12.341706595827194
2013-06-10,15.855941063037278
2013-06-11,15.851704341517026
2013-06-12,15.755082608193126
2013-06-13,15.62756344012556
2013-06-14,15.747950282695312
2013-06-15,15.724093187070306
2013-06-16,12.36916594606638
2013-06-17,15.879055335823052
2013-06-18,15.870737369638835
2013-06-19,15.770367047558768
2013-06-20,15.63948705266045
2013-06-21,15.756941116577778
2013-06-22,15.730604156878922
2013-06-23,12.373659325789912
2013-06-24,15.881987670899507
2013-06-25,15.87254529108704
2013-06-26,15.771454432619922
2013-06-27,15.640213923526089
2013-06-28,15.757614603121644
2013-06-29,15.731471774350188
2013-06-30,12.37490473474028
2013-07-01,15.883726782766905
2013-07-02,15.87483157480866
2013-07-03,15.77428002511096
2013-07-04,15.643515226161265
2013-07-05,15.761279886953307
2013-07-06,15.7353504647567
2013-07-07,12.378817990210791
2013-07-08,15.887481155862526
2013-07-09,15.878226434030957
2013-07-10,15.777121568702338
2013-07-11,15.645627759816447
2013-07-12,15.762516140418867
2013-07-13,15.735600542611897
2013-07-14,12.37801660327524
2013-07-15,15.885612843084925
2013-07-16,15.875328559170647
2013-07-17,15.773284958046707
2013-07-18,15.64099493462697
2013-07-19,15.757277187397218
2013-07-20,15.729986754496542
2013-07-21,12.372292106238842
2013-07-22,15.880064506061084
2013-07-23,15.87025454801288
2013-07-24,15.76898235409315
2013-07-25,15.637746879075628
2013-07-26,15.755340039302856
2013-07-27,15.729577759533056
2013-07-28,12.373578065241858
2013-07-29,15.883151907008637
2013-07-30,15.875181582661396
2013-07-31,15.77571318253193
2013-08-01,15.646052072807889
2013-08-02,15.76502885389313
2013-08-03,15.7403841869704
2013-08-04,12.385166125771288
2013-08-05,15.8951237341288
2013-08-06,15.887088115039385
2013-08-07,15.78706717903638
2013-08-08,15.656459438174553
2013-08-09,15.773972378666262
2013-08-10,15.747357347688492
2013-08-11,12.389690932925223
2013-08-12,15.89676838708088
2013-08-13,15.88548384945727
2013-08-14,15.781923699656431
2013-08-15,15.647578357444576
2013-08-16,15.761258129882744
2013-08-17,15.73082510798357
2013-08-18,12.369471175780946
2013-08-19,15.873107783216152
2013-08-20,15.85874234615422
2013-08-21,15.75256772893077
2013-08-22,15.616170248639785
2013-08-23,15.728441928982004
2013-08-24,15.6973091299959
2013-08-25,12.336007733264632
2013-08-26,15.840470640821232
2013-08-27,15.827702542928291
2013-08-28,15.72386848455911
2013-08-29,15.590501723633206
2013-08-30,15.706416640079055
2013-08-31,15.678993435511542
2013-09-01,12.321791751050252
2013-09-02,15.83060498530343
2013-09-03,15.822284131912726
2013-09-04,15.722830608522496
2013-09-05,15.593608851278228
2013-09-06,15.713264303123545
